date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:42	11915/11915	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e8b-5c8df5c673c92%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/tabs.min.js?ver=1.12.1	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/tabs.min35d0.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:42	6406/6406	---MCZ	200	added ('OK')	application/javascript	etag:W/%221906-5c8df5c64cb97%22	https://demo2.tokomoo.com/livre/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:42	16470/16470	---MCZ	200	added ('OK')	application/javascript	etag:W/%224056-5c8df5c64bbf7%22	https://demo2.tokomoo.com/livre/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:42	12987/12987	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232bb-5c8df6385eec4%22	https://demo2.tokomoo.com/livre/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.4.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/contact-form-7/includes/js/index7661.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:43	9545/9545	---MCZ	200	added ('OK')	application/javascript	etag:W/%222549-5c8df653fdfce%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:43	3037/3037	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdd-5c8df65406c6d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=5.5.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min4245.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:43	1834/1834	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272a-5c8df65408bad%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:43	2139/2139	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285b-5c8df65407c0d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=5.5.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min4245.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:44	2938/2938	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b7a-5c8df65406c6d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=5.5.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min4245.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:44	2140/2140	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285c-5c8df6602249b%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-quick-view/assets/js/frontend.min.js?ver=1.6.3	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-quick-view/assets/js/frontend.min905d.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:44	1390/1390	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e-5d26141de633e%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/bootstrap/assets/js/koo-shortcodes.js?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/bootstrap/assets/js/koo-shortcodes080f.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:44	36148/36148	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d34-5c8df5c670db3%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/datepicker.min.js?ver=1.12.1	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/datepicker.min35d0.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:44	24909/24909	---MCZ	200	added ('OK')	application/javascript	etag:W/%22614d-5d26141dd0b7f%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/assets/js/plugins/gmap3.js?ver=2.0.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/assets/js/plugins/gmap3001e.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:45	34695/34695	---MCZ	200	added ('OK')	application/javascript	etag:W/%228787-5d26141dd0b7f%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/assets/js/plugins/isotope.pkgd.min.js?ver=2.0.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/assets/js/plugins/isotope.pkgd.min001e.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
